date,challenged,result,challenger,map
2026-05-27,Maití / meuqsaco,0-1,arc / Gabe,Campbell's Convoy
2026-05-28,gaules / gbytes,0-1,Lion Heart / SaNgar,Djebel Pass
2026-05-30,Bineto / nigo,0-1,Hjax / viperking,Operation Eindhoven
2026-05-31,Infiel / KSxWOS,0-1,Showtaro / Vitor,Pachino Farmlands
2026-06-01,arc / Gabe,0-1,Chacineiro / Alface / Vikitor,Pachino Farmlands
2026-06-01,General Winter / Skobadark,0-1,Lem / vonMises / Cunha,Campbell's Convoy
2026-06-05,Lion Heart / SaNgar,1-0,Bineto / nigo,El Alamein
2026-06-06,Chacineiro / Alface / Vikitor,0-1,Showtaro / Vitor,El Alamein
2026-06-06,arc / Gabe,1-0,gaules / gbytes,Operation Eindhoven
2026-06-07,Lem / vonMises / Cunha,0-1,Hjax / viperking,Campbell's Convoy
2026-06-08,Major Bruno / Razi,0-1,Sauronzinho/ Dragoness,Campbell's Convoy
2026-06-10,General Winter / Skobadark,1-0,Sauronzinho/ Dragoness,El Alamein
2026-06-11,Lem / vonMises / Cunha,1-0,arc / Gabe,Elst Outskirts
