team,status,protection,can_challenge,can_be_challenged,battle_for
Showtaro / Vitor,partida marcada - domingo às 19:30,,,,batalha pela #1 posição
Lion Heart / SaNgar,partida marcada - segunda-feira às 21 horas,,,,batalha pela #2 posição
Hjax / viperking,partida marcada - domingo às 19:30,,,,batalha pela #1 posição
Chacineiro / Alface / Vikitor,partida marcada - segunda-feira às 21 horas,,,,batalha pela #2 posição
Lem / vonMises / Cunha,,proteção 48 horas sem ser desafiado até sábado,pode desafiar 3 posições acima,,*
arc / Gabe,,,pode desafiar 3 posições acima,pode ser desafiado 3 abaixo,*
General Winter / Skobadark,,proteção 48 horas sem ser desafiado até sexta-feira,pode desafiar 3 posições acima,,*
Maití / meuqsaco,partida marcada - segunda-feira às 21 horas,,,,batalha pela #8 posição; perdedor cai uma posição
Infiel / KSxWOS,partida marcada - segunda-feira às 21 horas,,,,batalha pela #8 posição; perdedor cai uma posição
Bineto / nigo,partida marcada - sexta-feira às 21 horas,,,,batalha pela #8 posição; perdedor cai uma posição
gaules / gbytes,partida marcada - sexta-feira às 21 horas,,,,batalha pela #8 posição; perdedor cai uma posição
Sauronzinho/ Dragoness,,,pode desafiar 3 posições acima,pode ser desafiado 3 abaixo,*
Major Bruno / Razi,partida marcada aguardando agendamento,,,,batalha pela #13 posição
Alekel / Phobbos,partida marcada aguardando agendamento,,,,batalha pela #13 posição
Violante / Phayol,inativo,,,,inativo
