team,status
Chacineiro / Alface / Vikitor,partida marcada aguardando agendamento
Lion Heart / SaNgar,partida sexta às 21 horas
Hjax / viperking,partida domingo às 19:30
Showtaro / Vitor,partida marcada aguardando agendamento
Lem / vonMises / Cunha,partida domingo às 19:30
arc / Gabe,partida sábado às 20 horas
Maití / meuqsaco,partida marcada aguardando agendamento
gaules / gbytes,partida sábado às 20 horas
Bineto / nigo,partida sexta às 21 horas
Infiel / KSxWOS,partida marcada aguardando agendamento
General Winter / Skobadark,pode desafiar acima ou igual
Major Bruno / Razi,
Sauronzinho/ Dragoness,
Alekel / Phobbos,
Violante / Phayol,inativo
